Date:  17:39, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
221  ,9.451e+04   ,425.41  ,929.43  ,1291.5
222  ,2.214e+05   ,430.28  ,929.43  ,1291.5
223  ,1.734e+05   ,430.42  ,929.43  ,1283.4
224  ,1.379e+06   ,447.26  ,929.43  ,1283.4
225  ,2.045e+06   ,447.41  ,929.43  ,1291.5
226  ,4.374e+06   ,452.28  ,929.43  ,1291.5
227  ,3.905e+06   ,452.42  ,929.43  ,1283.4
228  ,7.033e+06   ,460.31  ,929.43  ,1283.4
229  ,4.139e+04   ,380.44  ,929.43  ,1290.9
230  ,1.470e+05   ,591.32  ,927.79  ,1303.8
231  ,4.048e+04   ,591.32  ,927.57  ,1303.8
232  ,3.278e+05   ,589.82  ,929.34  ,1305
233  ,3.288e+04   ,589.82  ,927.57  ,1303.8
234  ,8.017e+04   ,589.82  ,927.79  ,1303.8
235  ,3.268e+06   ,574.32  ,926.93  ,1283.7
236  ,7.232e+05   ,574.32  ,921.8  ,1283.7
237  ,1.831e+06   ,574.24  ,927.54  ,1283.7
238  ,3.825e+06   ,575.82  ,927.79  ,1283.7
239  ,9.590e+05   ,583.32  ,928.76  ,1304.3
240  ,2.030e+06   ,583.32  ,928.76  ,1302.2
241  ,1.652e+06   ,575.82  ,927.79  ,1302.2
242  ,4.328e+06   ,575.82  ,925.07  ,1283.7
243  ,1.825e+06   ,575.82  ,925.07  ,1302.2
244  ,2.047e+06   ,583.32  ,925.07  ,1302.2
245  ,4.577e+05   ,583.32  ,925.07  ,1298.1
246  ,7.222e+05   ,583.32  ,924.07  ,1298.1
247  ,2.304e+06   ,575.82  ,924.07  ,1283.7
248  ,1.793e+06   ,575.82  ,924.07  ,1302.2
249  ,3.175e+06   ,583.32  ,924.07  ,1302.2
250  ,1.020e+02   ,393.45  ,881.67  ,1302.3
251  ,9.653e+01   ,393.76  ,880.72  ,1302.3
252  ,4.061e+02   ,393.45  ,881.67  ,1277.9
253  ,2.378e+02   ,393.76  ,880.72  ,1277.9
254  ,2.086e+04   ,379.01  ,927.48  ,1290.9
255  ,2.090e+04   ,380.06  ,924.14  ,1289.5
256  ,1.863e+04   ,384.73  ,909.33  ,1283.7
257  ,8.987e+03   ,385.49  ,906.95  ,1283.7
258  ,1.068e+04   ,385.49  ,906.95  ,1283.4
259  ,1.344e+04   ,380.12  ,923.97  ,1283.4
260  ,3.567e+01   ,398.18  ,872.15  ,1303.8
261  ,1.603e+01   ,398.39  ,872.22  ,1303.8
262  ,1.387e+02   ,397.15  ,870.26  ,1305
263  ,2.245e+01   ,398.84  ,870.79  ,1303.8
264  ,4.041e+01   ,398.63  ,870.72  ,1303.8
265  ,2.695e+02   ,404.11  ,856.2  ,1303.7
266  ,6.900e+01   ,409  ,857.74  ,1303.7
267  ,6.768e+02   ,404.11  ,856.2  ,1283.7
268  ,4.198e+02   ,409  ,857.74  ,1283.7
269  ,5.714e+02   ,403.55  ,855.94  ,1283.7
270  ,1.894e+02   ,402.84  ,857.37  ,1283.7
271  ,2.061e+02   ,399.65  ,864.23  ,1304.3
272  ,1.971e+02   ,399.65  ,864.23  ,1302.2
273  ,8.900e+01   ,402.84  ,857.37  ,1302.2
274  ,1.341e+02   ,391.72  ,892.66  ,1303.8
275  ,3.755e+02   ,390.24  ,892.19  ,1305
276  ,8.715e+01   ,391.93  ,892.72  ,1303.8
277  ,4.824e+01   ,392.38  ,891.29  ,1303.8
278  ,9.438e+01   ,392.17  ,891.23  ,1303.8
279  ,3.370e+04   ,387.28  ,907.51  ,1283.7
280  ,1.903e+04   ,387.51  ,906.01  ,1283.7
281  ,1.339e+03   ,387.51  ,906.01  ,1302.2
282  ,8.052e+02   ,388.83  ,898.56  ,1302.2
283  ,1.374e+03   ,388.83  ,898.56  ,1304.3
284  ,8.307e+03   ,387.87  ,907.7  ,1283.7
285  ,4.711e+03   ,387.87  ,907.7  ,1303.7
286  ,4.455e+02   ,391.56  ,908.86  ,1303.7
287  ,1.312e+03   ,391.56  ,908.86  ,1283.7
288  ,2.331e+02   ,405.43  ,858.19  ,1283.7
289  ,4.024e+01   ,405.43  ,858.19  ,1302.2
290  ,2.492e+02   ,403.18  ,865.34  ,1302.2
291  ,1.060e+02   ,403.18  ,865.34  ,1298.1
292  ,9.606e+01   ,404.13  ,865.64  ,1298.1
293  ,3.401e+02   ,406.39  ,858.49  ,1283.7
294  ,7.005e+01   ,406.39  ,858.49  ,1302.2
295  ,1.569e+02   ,404.13  ,865.64  ,1302.2
296  ,9.085e+02   ,391.05  ,907.13  ,1302.2
297  ,3.731e+03   ,391.05  ,907.13  ,1283.7
298  ,9.740e+02   ,393.31  ,899.97  ,1302.2
299  ,1.244e+03   ,393.31  ,899.97  ,1298.1
300  ,1.546e+03   ,390.1  ,906.83  ,1302.2
301  ,8.383e+03   ,390.1  ,906.83  ,1283.7
302  ,5.883e+02   ,392.35  ,899.67  ,1298.1
303  ,1.181e+03   ,392.35  ,899.67  ,1302.2
304  ,7.644e+02   ,393.44  ,907.88  ,1302.2
305  ,1.658e+03   ,393.44  ,907.88  ,1283.7
306  ,6.824e+02   ,395.69  ,900.73  ,1302.2
307  ,7.215e+01   ,406.52  ,866.39  ,1302.2
308  ,6.935e+01   ,408.77  ,859.24  ,1302.2
309  ,2.199e+02   ,408.77  ,859.24  ,1283.7
310  ,1.420e+02   ,406.52  ,866.39  ,1303.7
311  ,7.991e+02   ,395.69  ,900.73  ,1303.7
312  ,1.497e+03   ,393.25  ,908.48  ,1283.7
313  ,1.498e+03   ,393.25  ,908.48  ,1283.2
314  ,4.591e+02   ,397.65  ,894.51  ,1275.7
315  ,2.490e+02   ,400.95  ,884.04  ,1275.7
316  ,1.695e+02   ,400.95  ,884.04  ,1300.8
317  ,1.466e+02   ,401.26  ,883.08  ,1300.8
318  ,2.152e+02   ,401.26  ,883.08  ,1275.7
319  ,1.223e+02   ,404.56  ,872.61  ,1275.7
320  ,4.931e+02   ,409.1  ,858.19  ,1283.5
321  ,2.936e+02   ,409.1  ,858.19  ,1283.7
322  ,1.741e+02   ,405.79  ,873.68  ,1275.4
323  ,2.634e+02   ,409.75  ,861.12  ,1282.1
324  ,3.586e+02   ,401.19  ,864.71  ,1303.7
325  ,1.575e+03   ,390.37  ,899.05  ,1303.7
326  ,9.706e+01   ,399.28  ,894.34  ,1275.4
327  ,7.705e+02   ,394.94  ,908.11  ,1282.8
328  ,3.408e+02   ,394.94  ,908.11  ,1303.7
