Date:  17:47, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
203  ,5.198e+05   ,457.71  ,927.93  ,1281.9
204  ,2.347e+05   ,452.43  ,927.93  ,1281.9
205  ,1.942e+06   ,452.43  ,911.39  ,1281.9
206  ,1.223e+06   ,447.25  ,911.39  ,1281.9
207  ,3.974e+05   ,447.25  ,927.93  ,1281.9
208  ,1.005e+06   ,430.43  ,927.93  ,1281.9
209  ,1.319e+06   ,430.43  ,911.39  ,1281.9
210  ,1.317e+06   ,425.25  ,911.39  ,1281.9
211  ,9.702e+05   ,425.25  ,927.93  ,1281.9
212  ,1.616e+06   ,408.43  ,927.93  ,1281.9
213  ,1.822e+06   ,408.43  ,911.39  ,1281.9
214  ,1.893e+06   ,383.94  ,929.43  ,1289.5
215  ,7.662e+05   ,384.12  ,929.43  ,1283.4
216  ,1.860e+06   ,403.26  ,929.43  ,1283.4
217  ,1.792e+06   ,403.41  ,929.43  ,1291.5
218  ,7.664e+05   ,408.28  ,929.43  ,1291.5
219  ,1.015e+06   ,408.42  ,929.43  ,1283.4
220  ,1.093e+06   ,425.26  ,929.43  ,1283.4
221  ,6.270e+05   ,425.41  ,929.43  ,1291.5
222  ,2.863e+05   ,430.28  ,929.43  ,1291.5
223  ,6.137e+05   ,430.42  ,929.43  ,1283.4
224  ,3.985e+05   ,447.26  ,929.43  ,1283.4
225  ,4.863e+04   ,447.41  ,929.43  ,1291.5
226  ,1.652e+04   ,452.28  ,929.43  ,1291.5
227  ,3.225e+05   ,452.42  ,929.43  ,1283.4
228  ,2.083e+05   ,460.31  ,929.43  ,1283.4
229  ,1.702e+06   ,380.44  ,929.43  ,1290.9
230  ,6.060e+04   ,591.32  ,927.79  ,1303.8
231  ,2.715e+04   ,591.32  ,927.57  ,1303.8
232  ,1.811e+05   ,589.82  ,929.34  ,1305
233  ,1.681e+04   ,589.82  ,927.57  ,1303.8
234  ,3.066e+04   ,589.82  ,927.79  ,1303.8
235  ,2.527e+04   ,574.32  ,926.93  ,1283.7
236  ,1.757e+04   ,574.32  ,921.8  ,1283.7
237  ,5.200e+04   ,574.24  ,927.54  ,1283.7
238  ,3.658e+04   ,575.82  ,927.79  ,1283.7
239  ,1.407e+05   ,583.32  ,928.76  ,1304.3
240  ,1.279e+05   ,583.32  ,928.76  ,1302.2
241  ,5.732e+04   ,575.82  ,927.79  ,1302.2
242  ,2.471e+04   ,575.82  ,925.07  ,1283.7
243  ,8.123e+03   ,575.82  ,925.07  ,1302.2
244  ,7.532e+04   ,583.32  ,925.07  ,1302.2
245  ,1.086e+04   ,583.32  ,925.07  ,1298.1
246  ,2.288e+04   ,583.32  ,924.07  ,1298.1
247  ,1.958e+04   ,575.82  ,924.07  ,1283.7
248  ,1.419e+04   ,575.82  ,924.07  ,1302.2
249  ,2.708e+04   ,583.32  ,924.07  ,1302.2
250  ,1.023e+06   ,393.45  ,881.67  ,1302.3
251  ,5.585e+05   ,393.76  ,880.72  ,1302.3
252  ,1.693e+06   ,393.45  ,881.67  ,1277.9
253  ,1.194e+06   ,393.76  ,880.72  ,1277.9
254  ,3.777e+06   ,379.01  ,927.48  ,1290.9
255  ,6.150e+06   ,380.06  ,924.14  ,1289.5
256  ,1.745e+07   ,384.73  ,909.33  ,1283.7
257  ,7.469e+06   ,385.49  ,906.95  ,1283.7
258  ,9.104e+06   ,385.49  ,906.95  ,1283.4
259  ,1.496e+06   ,380.12  ,923.97  ,1283.4
260  ,4.169e+05   ,398.18  ,872.15  ,1303.8
261  ,1.683e+05   ,398.39  ,872.22  ,1303.8
262  ,1.433e+06   ,397.15  ,870.26  ,1305
263  ,1.144e+05   ,398.84  ,870.79  ,1303.8
264  ,2.382e+05   ,398.63  ,870.72  ,1303.8
265  ,5.494e+06   ,404.11  ,856.2  ,1303.7
266  ,9.080e+05   ,409  ,857.74  ,1303.7
267  ,6.638e+06   ,404.11  ,856.2  ,1283.7
268  ,8.074e+05   ,409  ,857.74  ,1283.7
269  ,5.116e+06   ,403.55  ,855.94  ,1283.7
270  ,2.410e+06   ,402.84  ,857.37  ,1283.7
271  ,2.173e+06   ,399.65  ,864.23  ,1304.3
272  ,4.089e+06   ,399.65  ,864.23  ,1302.2
273  ,1.609e+06   ,402.84  ,857.37  ,1302.2
274  ,5.009e+05   ,391.72  ,892.66  ,1303.8
275  ,2.407e+06   ,390.24  ,892.19  ,1305
276  ,1.792e+05   ,391.93  ,892.72  ,1303.8
277  ,1.479e+05   ,392.38  ,891.29  ,1303.8
278  ,5.779e+05   ,392.17  ,891.23  ,1303.8
279  ,6.642e+06   ,387.28  ,907.51  ,1283.7
280  ,1.252e+07   ,387.51  ,906.01  ,1283.7
281  ,3.344e+06   ,387.51  ,906.01  ,1302.2
282  ,2.759e+06   ,388.83  ,898.56  ,1302.2
283  ,2.485e+06   ,388.83  ,898.56  ,1304.3
284  ,6.518e+06   ,387.87  ,907.7  ,1283.7
285  ,3.567e+06   ,387.87  ,907.7  ,1303.7
286  ,1.280e+06   ,391.56  ,908.86  ,1303.7
287  ,3.133e+06   ,391.56  ,908.86  ,1283.7
288  ,5.027e+06   ,405.43  ,858.19  ,1283.7
289  ,1.962e+06   ,405.43  ,858.19  ,1302.2
290  ,3.385e+06   ,403.18  ,865.34  ,1302.2
291  ,7.495e+05   ,403.18  ,865.34  ,1298.1
292  ,9.530e+05   ,404.13  ,865.64  ,1298.1
293  ,2.706e+06   ,406.39  ,858.49  ,1283.7
294  ,2.072e+06   ,406.39  ,858.49  ,1302.2
295  ,3.610e+06   ,404.13  ,865.64  ,1302.2
296  ,2.435e+06   ,391.05  ,907.13  ,1302.2
297  ,5.816e+06   ,391.05  ,907.13  ,1283.7
298  ,5.920e+06   ,393.31  ,899.97  ,1302.2
299  ,1.905e+06   ,393.31  ,899.97  ,1298.1
300  ,3.418e+06   ,390.1  ,906.83  ,1302.2
301  ,1.082e+07   ,390.1  ,906.83  ,1283.7
