Date:  19:56, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact (Left)(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
319  ,1.388e+01   ,404.56  ,872.61  ,1275.7
320  ,1.694e+01   ,409.1  ,858.19  ,1283.5
321  ,5.378e+00   ,409.1  ,858.19  ,1283.7
322  ,5.611e+00   ,405.79  ,873.68  ,1275.4
323  ,2.223e+01   ,409.75  ,861.12  ,1282.1
324  ,4.478e+01   ,401.19  ,864.71  ,1303.7
325  ,2.215e+01   ,390.37  ,899.05  ,1303.7
326  ,5.440e+00   ,399.28  ,894.34  ,1275.4
327  ,1.177e+01   ,394.94  ,908.11  ,1282.8
328  ,5.494e+00   ,394.94  ,908.11  ,1303.7
329  ,1.234e+01   ,409.75  ,861.12  ,1303.7
330  ,3.869e+00   ,403.9  ,856.12  ,1303.7
331  ,1.072e+02   ,387.66  ,907.64  ,1303.7
332  ,1.097e+00   ,400.3  ,882.78  ,1275.9
333  ,1.178e+00   ,400  ,883.74  ,1275.9
334  ,1.946e+00   ,396.49  ,881.58  ,1276.8
335  ,5.124e+00   ,396.49  ,881.58  ,1288.7
336  ,3.478e+00   ,396.19  ,882.53  ,1276.8
337  ,4.796e+00   ,396.19  ,882.53  ,1288.7
338  ,3.240e+00   ,393.63  ,881.73  ,1277.5
339  ,2.478e+00   ,393.93  ,880.77  ,1277.5
340  ,3.743e+05   ,447.71  ,911.84  ,1282
341  ,4.214e+05   ,451.98  ,911.84  ,1282
342  ,1.226e+05   ,451.4  ,928.88  ,1290.6
343  ,2.920e+05   ,448.28  ,928.88  ,1290.6
344  ,6.886e+04   ,425.71  ,911.84  ,1282
345  ,1.027e+05   ,429.98  ,911.84  ,1282
346  ,2.580e+05   ,429.4  ,928.88  ,1290.6
347  ,1.542e+04   ,426.28  ,928.88  ,1290.6
